sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
"We report a 45-year-old Chinese man with CML and chronic hepatitis B virus infection, on imatinib treatment, presenting with herpetic rash and acute liver failure.",imatinib,89,97,acute liver failure,143,162
"We report a 45-year-old Chinese man with CML and chronic hepatitis B virus infection, on imatinib treatment, presenting with herpetic rash and acute liver failure.",imatinib,89,97,herpetic rash,125,138
CONCLUSIONS: Clinicians treating elderly patients with olanzapine should be aware of the potential for rapidly developing hyperglycemia and monitor such patients accordingly.,olanzapine,55,65,hyperglycemia,122,135
OBJECTIVE: To report a case of rapidly occurring hyperglycemia that occurred in a geriatric patient 3 days after treatment with olanzapine.,olanzapine,128,138,hyperglycemia,49,62
Rapidly developing hyperglycemia during treatment with olanzapine.,olanzapine,55,65,hyperglycemia,19,32
"Subsequently, he developed hyperglycemia (fasting blood glucose 138 mg/dL) that resolved when olanzapine was stopped and recurred (fasting blood glucose 150 mg/dL) after 2 days of rechallenge with olanzapine 2.5 mg twice daily.",olanzapine,94,104,hyperglycemia,27,40
"There have been numerous case reports of hyperglycemia with olanzapine in the literature, but none reported hyperglycemia within days of initiation of the medication.",olanzapine,60,70,hyperglycemia,41,54
Adult respiratory distress syndrome after treatment with pegylated interferon alpha-2a and ribavirin.,pegylated interferon alpha-2a,57,86,Adult respiratory distress syndrome,0,35
Adult respiratory distress syndrome after treatment with pegylated interferon alpha-2a and ribavirin.,ribavirin,91,100,Adult respiratory distress syndrome,0,35
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",pegIFNalpha-2a,128,142,adult respiratory distress syndrome,38,73
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",pegylated interferon alpha-2a,97,126,adult respiratory distress syndrome,38,73
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",ribavirin,148,157,adult respiratory distress syndrome,38,73
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",pegIFNalpha-2a,128,142,ARDS,75,79
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",pegylated interferon alpha-2a,97,126,ARDS,75,79
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",ribavirin,148,157,ARDS,75,79
Bilateral anterior uveitis associated with clomiphene citrate.,clomiphene citrate,43,61,Bilateral anterior uveitis,0,26
PURPOSE: To report a case of bilateral anterior uveitis associated with ovulation induction therapy using clomiphene citrate.,clomiphene citrate,106,124,bilateral anterior uveitis,29,55
Development of tics in a thirteen-year-old male following atomoxetine use.,atomoxetine,58,69,tics,15,19
"There are, however, case studies describing patients experiencing recurrences of tics following treatment with atomoxetine.",atomoxetine,111,122,tics,81,85
A 51-year-old man developed type 1 diabetes mellitus following 24 weeks of treatment with recombinant alpha-2b peginterferon plus ribavirin for chronic hepatitis C.,alpha-2b peginterferon,102,124,type 1 diabetes mellitus,28,52
A 51-year-old man developed type 1 diabetes mellitus following 24 weeks of treatment with recombinant alpha-2b peginterferon plus ribavirin for chronic hepatitis C.,ribavirin,130,139,type 1 diabetes mellitus,28,52
"The clinical course suggested that recombinant alpha-2b peginterferon plus ribavirin provoked type 1 diabetes mellitus, therefore, in patients who are candidates for interferon therapy the presence of pancreatic autoantibodies and the fasting plasma glucose level should be investigated before and during treatment.",recombinant alpha-2b peginterferon,35,69,type 1 diabetes mellitus,94,118
"The clinical course suggested that recombinant alpha-2b peginterferon plus ribavirin provoked type 1 diabetes mellitus, therefore, in patients who are candidates for interferon therapy the presence of pancreatic autoantibodies and the fasting plasma glucose level should be investigated before and during treatment.",ribavirin,75,84,type 1 diabetes mellitus,94,118
Type 1 diabetes mellitus provoked by peginterferon alpha-2b plus ribavirin treatment for chronic hepatitis C.,peginterferon alpha-2b,37,59,Type 1 diabetes mellitus,0,24
Type 1 diabetes mellitus provoked by peginterferon alpha-2b plus ribavirin treatment for chronic hepatitis C.,ribavirin,65,74,Type 1 diabetes mellitus,0,24
BACKGROUND: To describe the occurrence of ocular hypertension in four patients following injection of ranibizumab intravitreally.,ranibizumab,102,113,ocular hypertension,42,61
CONCLUSION: Severe and sustained ocular hypertension may occur after intravitreal ranibizumab.,ranibizumab,82,93,sustained ocular hypertension,23,52
"Ocular hypertension occurred 1 month after the second ranibizumab injection in patients 1 and 3, and 1 month after the first ranibizumab in patient 2.",ranibizumab,54,65,Ocular hypertension,0,19
Persisent ocular hypertension following intravitreal ranibizumab.,ranibizumab,53,64,Persisent ocular hypertension,0,29
Methylphenidate and dextroamphetamine-induced peripheral vasculopathy.,dextroamphetamine,20,37,peripheral vasculopathy,46,69
Methylphenidate and dextroamphetamine-induced peripheral vasculopathy.,Methylphenidate,0,15,peripheral vasculopathy,46,69
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.",dextroamphetamine,52,69,acral cyanosis,89,103
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.",methylphenidate,27,42,acral cyanosis,89,103
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.",dextroamphetamine,52,69,livedo reticularis,105,123
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.",methylphenidate,27,42,livedo reticularis,105,123
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.",dextroamphetamine,52,69,Raynaud phenomenon,128,146
"We report 4 patients, 2 on methylphenidate and 2 on dextroamphetamine who presented with acral cyanosis, livedo reticularis, or Raynaud phenomenon.",methylphenidate,27,42,Raynaud phenomenon,128,146
Disseminated eruptive giant mollusca contagiosa in an adult psoriasis patient during efalizumab therapy.,efalizumab,85,95,Disseminated eruptive giant mollusca contagiosa,0,47
We report a 45-year-old psoriasis patient who developed eruptive mollusca contagiosa during an antipsoriatic treatment with efalizumab.,efalizumab,124,134,eruptive mollusca contagiosa,56,84
"Gastric tumor, endometrial carcinoma and cervical adenocarcinoma in situ were detected after treatment with tamoxifen for breast cancer.",tamoxifen,108,117,cervical adenocarcinoma,41,64
"Gastric tumor, endometrial carcinoma and cervical adenocarcinoma in situ were detected after treatment with tamoxifen for breast cancer.",tamoxifen,108,117,endometrial carcinoma,15,36
"Gastric tumor, endometrial carcinoma and cervical adenocarcinoma in situ were detected after treatment with tamoxifen for breast cancer.",tamoxifen,108,117,Gastric tumor,0,13
Incomplete posterior hyaloid detachment after intravitreal pegaptanib injection in diabetic macular edema.,pegaptanib,59,69,Incomplete posterior hyaloid detachment,0,39
The authors report one case of incomplete posterior hyaloid detachment (PHD) following intravitreal pegaptanib to treat DME.,pegaptanib,100,110,incomplete posterior hyaloid detachment,31,70
Enalaprilat induced acute parotitis.,Enalaprilat,0,11,acute parotitis,20,35
We present here a female patient who developed acute bilateral parotitis within minutes of i.v. enalaprilat injection and recovered within 24 hours of stopping the drug and with symptomatic treatment.,enalaprilat,96,107,acute bilateral parotitis,47,72
"We report a 4-year-old girl who presented with acute bilateral blindness, a focal seizure and hypertension 10 days after commencing oxybutynin to treat enuresis.",oxybutynin,132,142,acute bilateral blindness,47,72
"We report a 4-year-old girl who presented with acute bilateral blindness, a focal seizure and hypertension 10 days after commencing oxybutynin to treat enuresis.",oxybutynin,132,142,focal seizure,76,89
"We report a 4-year-old girl who presented with acute bilateral blindness, a focal seizure and hypertension 10 days after commencing oxybutynin to treat enuresis.",oxybutynin,132,142,hypertension,94,106
Severe symptomatic hyponatremia during sibutramine therapy: a case report.,sibutramine,39,50,Severe symptomatic hyponatremia,0,31
"The known side effects of sibutramine, ie, hypertension and tachycardia, depend on its adrenergic and serotoninergic effects.",sibutramine,26,37,hypertension,43,55
"The known side effects of sibutramine, ie, hypertension and tachycardia, depend on its adrenergic and serotoninergic effects.",sibutramine,26,37,tachycardia,60,71
We describe a case of life-threatening hyponatremia associated with sibutramine use in an obese woman.,sibutramine,68,79,hyponatremia,39,51
"Our findings reveal that even in patients without a history of seizures, pregabalin can cause a cortical negative myoclonus.",pregabalin,73,83,cortical negative myoclonus,96,123
Pregabalin-induced cortical negative myoclonus in a patient with neuropathic pain.,Pregabalin,0,10,cortical negative myoclonus,19,46
"We describe a patient who, after receiving his first dose of pregabalin to relieve neuropathic pain, presented with a negative myoclonus.",pregabalin,61,71,negative myoclonus,118,136
Muzolimine-induced severe neuromyeloencephalopathy: report of seven cases.,Muzolimine,0,10,severe neuromyeloencephalopathy,19,50
"We report on 7 patients (2 women, 5 men) with chronic renal failure, who developed under a high dosage of the new diuretic muzolimine (range 240 to 1440 mg per day) fatal neuromyeloencephalopathy.",muzolimine,123,133,fatal neuromyeloencephalopathy,165,195
L-asparaginase-induced posterior reversible encephalopathy syndrome during acute lymphoblastic leukemia treatment in children.,L-asparaginase,0,14,posterior reversible encephalopathy,23,58
The purpose of this article is to present the first case-series of posterior reversible encephalopathy syndrome (PRES) associated with L-asparaginase treatment.,L-asparaginase,135,149,posterior reversible encephalopathy syndrome,67,111
The purpose of this article is to present the first case-series of posterior reversible encephalopathy syndrome (PRES) associated with L-asparaginase treatment.,L-asparaginase,135,149,PRES,113,117
We report 3 cases of children with acute lymphoblastic leukemia who developed seizures and altered sensorium after L-asparaginase therapy.,L-asparaginase,115,129,altered sensorium,91,108
We report 3 cases of children with acute lymphoblastic leukemia who developed seizures and altered sensorium after L-asparaginase therapy.,L-asparaginase,115,129,seizures,78,86
Anastrozole-associated sclerosing glomerulonephritis in a patient with breast cancer.,Anastrozole,0,11,sclerosing glomerulonephritis,23,52
CONCLUSIONS: Anastrozole may be the causative factor in patients with sclerosing glomerulonephritis.,Anastrozole,13,24,sclerosing glomerulonephritis,70,99
"Diagnosis of sclerosing glomerulonephritis occurred in this patient during anastrozole use, suggesting a newly defined side effect of anastrozole.",anastrozole,75,86,sclerosing glomerulonephritis,13,42
Renal injury due to anastrozole has not been published in the English literature.,anastrozole,20,31,Renal injury,0,12
"There are major side effects of anastrozole including decrease in both lumbar spine and total hip bone mineral density, increase in the incidence of all bone fractures (especially fractures of spine, hip and wrist), joint disorders and increase in the cholesterol level.",anastrozole,32,43,decrease in both lumbar spine,54,83
"There are major side effects of anastrozole including decrease in both lumbar spine and total hip bone mineral density, increase in the incidence of all bone fractures (especially fractures of spine, hip and wrist), joint disorders and increase in the cholesterol level.",anastrozole,32,43,increase in the cholesterol level,236,269
"There are major side effects of anastrozole including decrease in both lumbar spine and total hip bone mineral density, increase in the incidence of all bone fractures (especially fractures of spine, hip and wrist), joint disorders and increase in the cholesterol level.",anastrozole,32,43,increase in the incidence of all bone fractures,120,167
"There are major side effects of anastrozole including decrease in both lumbar spine and total hip bone mineral density, increase in the incidence of all bone fractures (especially fractures of spine, hip and wrist), joint disorders and increase in the cholesterol level.",anastrozole,32,43,joint disorders,216,231
We believe that the acute renal failure in our patient was associated with anastrozole.,anastrozole,75,86,acute renal failure,20,39
"CASE SUMMARY: A 61-year-old woman with no apparent risk factors for liver injury developed acute hepatitis one week after the final dose of a long-term course of pulse itraconazole therapy (200 mg orally twice daily, 1 wk on, 3 wk off, for 24 wk) for onychomycosis.",itraconazole,168,180,acute hepatitis,91,106
"CONCLUSIONS: Prolonged exposure to itraconazole, administered either continuously or intermittently, may precipitate severe and irreversible hepatotoxic events.",itraconazole,35,47,severe and irreversible hepatotoxic events,117,159
Fatal hepatitis after long-term pulse itraconazole treatment for onychomycosis.,itraconazole,38,50,Fatal hepatitis,0,15
OBJECTIVE: To report the occurrence of acute cytolytic hepatitis in a patient exposed to pulse itraconazole therapy for 24 weeks and provide a concise review of the literature on cases of itraconazole-induced hepatitis.,itraconazole,95,107,acute cytolytic hepatitis,39,64
OBJECTIVE: To report the occurrence of acute cytolytic hepatitis in a patient exposed to pulse itraconazole therapy for 24 weeks and provide a concise review of the literature on cases of itraconazole-induced hepatitis.,itraconazole,95,107,hepatitis,55,64
Only one case of severe symptomatic hepatitis occurring after pulse therapy with itraconazole for onychomycosis and requiring transplantation has been reported previously.,itraconazole,81,93,severe symptomatic hepatitis,17,45
CONCLUSIONS: Intrathecal baclofen can impair sexual function and ejaculation in some patients.,baclofen,25,33,impair sexual function,38,60
RESULTS: A male and a female patient with spasticity treated with intrathecal baclofen were recognized to have sexual dysfunction side effects from treatment.,baclofen,78,86,sexual dysfunction,111,129
Sexual dysfunction associated with intrathecal baclofen use: a report of two cases.,baclofen,47,55,Sexual dysfunction,0,18
Anaphylactic reaction to recombinant insulin-like growth factor-I.,recombinant insulin-like growth factor-I,25,65,Anaphylactic reaction,0,21
We report a 13 year-old male who developed life-threatening anaphylaxis early in the course of Increlex therapy.,Increlex,95,103,anaphylaxis,60,71
Increasing the olanzapine dosage severely aggravated the symptoms of RLS.,olanzapine,15,25,RLS,69,72
Restless legs syndrome and periodic limb movements during sleep probably associated with olanzapine.,olanzapine,89,99,periodic limb movements during sleep,27,63
Restless legs syndrome and periodic limb movements during sleep probably associated with olanzapine.,olanzapine,89,99,Restless legs syndrome,0,22
The fifth patient exhibited paraesthesia and agitation caused by olanzapine that was misdiagnosed as psychotic agitation.,olanzapine,65,75,agitation,45,54
The fifth patient exhibited paraesthesia and agitation caused by olanzapine that was misdiagnosed as psychotic agitation.,olanzapine,65,75,paraesthesia,28,40
The fourth patient showed RLS symptoms that were initially caused by a 20-mg daily olanzapine dosage and were later mitigated when olanzapine was reduced and ropinirole was administered.,olanzapine,83,93,RLS symptoms,26,38
The second patient exhibited sudden PLMS following olanzapine injection.,olanzapine,51,61,PLMS,36,40
"The third patient had been suffering from serious akathisia while on risperidone, and was cured after switching to olanzapine, but thereafter the patient suffered from RLS at nighttime.",olanzapine,115,125,akathisia,50,59
"The third patient had been suffering from serious akathisia while on risperidone, and was cured after switching to olanzapine, but thereafter the patient suffered from RLS at nighttime.",risperidone,69,80,akathisia,50,59
"The third patient had been suffering from serious akathisia while on risperidone, and was cured after switching to olanzapine, but thereafter the patient suffered from RLS at nighttime.",olanzapine,115,125,RLS,168,171
"The third patient had been suffering from serious akathisia while on risperidone, and was cured after switching to olanzapine, but thereafter the patient suffered from RLS at nighttime.",risperidone,69,80,RLS,168,171
We report five cases of restless legs syndrome (RLS) and periodic limb movements during sleep (PLMS) that were probably associated with olanzapine.,olanzapine,136,146,periodic limb movements during sleep,57,93
We report five cases of restless legs syndrome (RLS) and periodic limb movements during sleep (PLMS) that were probably associated with olanzapine.,olanzapine,136,146,PLMS,95,99
We report five cases of restless legs syndrome (RLS) and periodic limb movements during sleep (PLMS) that were probably associated with olanzapine.,olanzapine,136,146,restless legs syndrome,24,46
We report five cases of restless legs syndrome (RLS) and periodic limb movements during sleep (PLMS) that were probably associated with olanzapine.,olanzapine,136,146,RLS,48,51
CONCLUSION: Alendronate led to nodular scleritis and rechallenge caused recurrence of scleritis.,Alendronate,12,23,nodular scleritis,31,48
CONCLUSION: Alendronate led to nodular scleritis and rechallenge caused recurrence of scleritis.,Alendronate,12,23,scleritis,39,48
Nodular scleritis following alendronate therapy.,alendronate,28,39,Nodular scleritis,0,17
PURPOSE: To report a case of nodular scleritis following alendronate sodium.,alendronate sodium,57,75,nodular scleritis,29,46
Two weeks following rechallenge with alendronate sodium resulted in recurrence of his scleritis.,alendronate sodium,37,55,scleritis,86,95
"In addition, there is a report on prolonged ECT seizure related to ciprofloxacin, which has an epileptogenic property with a similar action to beta-lactam antibiotics.",ciprofloxacin,67,80,prolonged ECT seizure,34,55
"Thus, tardive seizures in our cases are thought to be related to piperacillin and cefotiam.",cefotiam,82,90,tardive seizures,6,22
"Thus, tardive seizures in our cases are thought to be related to piperacillin and cefotiam.",piperacillin,65,77,tardive seizures,6,22
Acute delirium resulting from levofloxacin therapy is an exceedingly rare complication that has been thought to occur more commonly in elderly patients.,levofloxacin,30,42,Acute delirium,0,14
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",gatifloxacin,101,113,dizziness,271,280
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",grepafloxacin,71,84,dizziness,271,280
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",levofloxacin,43,55,dizziness,271,280
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",moxifloxacin,118,130,dizziness,271,280
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",sparfloxacin,57,69,dizziness,271,280
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",trovafloxacin,86,99,dizziness,271,280
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",gatifloxacin,101,113,headache,261,269
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",grepafloxacin,71,84,headache,261,269
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",levofloxacin,43,55,headache,261,269
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",moxifloxacin,118,130,headache,261,269
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",sparfloxacin,57,69,headache,261,269
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",trovafloxacin,86,99,headache,261,269
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",gatifloxacin,101,113,insomnia,285,293
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",grepafloxacin,71,84,insomnia,285,293
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",levofloxacin,43,55,insomnia,285,293
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",moxifloxacin,118,130,insomnia,285,293
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",sparfloxacin,57,69,insomnia,285,293
"CONCLUSION: The new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia.",trovafloxacin,86,99,insomnia,285,293
"Here, we describe levofloxacin-induced delirium with psychotic features in a relatively young, otherwise healthy female.",levofloxacin,18,30,delirium with psychotic features,39,71
Levofloxacin-induced delirium with psychotic features.,Levofloxacin,0,12,delirium with psychotic features,21,53
RESULTS: A previously healthy 42-year-old woman presented with acute-onset delirium with psychotic features as a consequence of levofloxacin therapy.,levofloxacin,128,140,acute-onset delirium with psychotic features,63,107
CONCLUSIONS: Clinicians should be aware that Crohn's disease is a potential novel adverse drug effect of Copaxone.,Copaxone,105,113,Crohn's disease,45,60
Development of Crohn's disease in a patient with multiple sclerosis treated with copaxone.,copaxone,81,89,Crohn's disease,15,30
RESULTS: Our patient developed Crohn's disease while on Copaxone treatment as a consequence of long-term immunosuppression.,Copaxone,56,64,Crohn's disease,31,46
RESULTS: Our patient developed Crohn's disease while on Copaxone treatment as a consequence of long-term immunosuppression.,Copaxone,56,64,long-term immunosuppression,95,122
She had been on Copaxone 20 mg/day treatment for 2 years when she first exhibited gastrointestinal symptoms.,Copaxone,16,24,gastrointestinal symptoms,82,107
"The authors present a case study of a mentally healthy man who repeatedly experienced short-lived, obsessional-like suicidal ideas and images after ingestion of the anti-fungal drug ketoconazole.",ketoconazole,182,194,obsessional-like suicidal ideas and images,99,141
"During intravenous treatment with terlipressin for recurrent gastrointestinal (GI) bleeding, a 50-year-old male with no history of heart disease developed a newly prolonged QT interval and torsade de pointes.",terlipressin,34,46,prolonged QT interval,163,184
"During intravenous treatment with terlipressin for recurrent gastrointestinal (GI) bleeding, a 50-year-old male with no history of heart disease developed a newly prolonged QT interval and torsade de pointes.",terlipressin,34,46,torsade de pointes,189,207
Terlipressin-induced ventricular arrhythmia.,Terlipressin,0,12,ventricular arrhythmia,21,43
Spontaneous nasal septal perforation with antiangiogenic bevacizumab therapy.,bevacizumab,57,68,Spontaneous nasal septal perforation,0,36
"This case describes a 52-year-old white woman who developed a spontaneous nasal septal perforation after given the antiangiogenic drug, bevacizumab, for metastatic ovarian cancer treatment.",bevacizumab,136,147,spontaneous nasal septal perforation,62,98
A 37-year-old woman with relapsing invasive vertebral aspergillosis received intravenous VRC and developed angio-oedema 10 days after starting therapy.,VRC,89,92,angio-oedema,107,119
Angio-oedema as an unusual tolerable side effect of voriconazole therapy.,voriconazole,52,64,Angio-oedema,0,12
"Here, we report a case of angio-oedema associated with VRC therapy.",VRC,55,58,angio-oedema,26,38
"To our knowledge, this is the first report of an angio-oedema associated with VRC.",VRC,78,81,angio-oedema,49,61
Voriconazole (VRC) has not previously been reported to cause angio-oedema.,Voriconazole,0,12,angio-oedema,61,73
Voriconazole (VRC) has not previously been reported to cause angio-oedema.,VRC,14,17,angio-oedema,61,73
Multiple seizures after bupropion overdose in a small child.,bupropion,24,33,Multiple seizures,0,17
"The patient experienced hallucinations, agitation, vomiting, tachycardia and seizures after ingestion of 1050 (48 mg/kg) of extended-release bupropion.",bupropion,141,150,agitation,40,49
"The patient experienced hallucinations, agitation, vomiting, tachycardia and seizures after ingestion of 1050 (48 mg/kg) of extended-release bupropion.",bupropion,141,150,hallucinations,24,38
"The patient experienced hallucinations, agitation, vomiting, tachycardia and seizures after ingestion of 1050 (48 mg/kg) of extended-release bupropion.",bupropion,141,150,seizures,77,85
"The patient experienced hallucinations, agitation, vomiting, tachycardia and seizures after ingestion of 1050 (48 mg/kg) of extended-release bupropion.",bupropion,141,150,tachycardia,61,72
"The patient experienced hallucinations, agitation, vomiting, tachycardia and seizures after ingestion of 1050 (48 mg/kg) of extended-release bupropion.",bupropion,141,150,vomiting,51,59
We report a case of pediatric bupropion ingestion resulting in multiple seizures.,bupropion,30,39,multiple seizures,63,80
Methylphenidate-associated enuresis in attention deficit hyperactivity disorder.,Methylphenidate,0,15,enuresis,27,35
This is a case report of possible association of methylphenidate and enuresis in an 11-year-old boy with attention deficit hyperactivity disorder.,methylphenidate,49,64,enuresis,69,77
Cephalosporin-induced leukopenia following rechallenge with cefoxitin.,Cephalosporin,0,13,leukopenia,22,32
CONCLUSIONS: Cefazolin was a probable cause of this patient's leukopenia.,Cefazolin,13,22,leukopenia,62,72
OBJECTIVE: To describe a case of cefazolin-induced leukopenia in a critically ill patient who developed this adverse reaction upon rechallenge with cefoxitin.,cefazolin,33,42,leukopenia,51,61
Use of the Naranjo probability scale determined the association between cephalosporin use and leukopenia to be probable.,cephalosporin,72,85,leukopenia,94,104
Posterior reversible encephalopathy syndrome (PRES) induced by cyclosporine use in a patient with collapsing focal glomeruloesclerosis.,PRES,46,50,cyclosporine,63,75
Posterior reversible encephalopathy syndrome (PRES) induced by cyclosporine use in a patient with collapsing focal glomeruloesclerosis.,PRES,46,50,Posterior reversible encephalopathy syndrome,0,44
We describe a case of PRES in a patient with collapsing focal glomeruloesclerosis (collapsing FGS) with complete recovery after withdrawal of cyclosporine (CSA).,CSA,156,159,PRES,22,26
We describe a case of PRES in a patient with collapsing focal glomeruloesclerosis (collapsing FGS) with complete recovery after withdrawal of cyclosporine (CSA).,cyclosporine,142,154,PRES,22,26
Stuttering priapism complicating warfarin therapy in a patient with protein C deficiency.,warfarin,33,41,Stuttering priapism,0,19
This therapy was also complicated by Warfarin-induced skin necrosis.,Warfarin,37,45,skin necrosis,54,67
We report a rare case of recurrent (stuttering) priapism in a patient with protein C deficiency while maintained on Warfarin therapy.,Warfarin,116,124,priapism,48,56
We report a rare case of recurrent (stuttering) priapism in a patient with protein C deficiency while maintained on Warfarin therapy.,Warfarin,116,124,stuttering,36,46
The patient expired after seven cycles of treatment had been completed because of pulmonary fibrosis and the drug toxicity of bleomycin.,bleomycin,126,135,pulmonary fibrosis,82,100
"CASE SUMMARY: An 80-year-old white female, followed up at the Memory Clinic for mild cognitive impairment, had been taking propafenone 900 mg/d for >10 years for paroxysmal atrial fibrillation without adverse effects.",propafenone,123,134,mild cognitive impairment,80,105
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",citalopram,88,98,coronary artery disease,177,200
